id;song;author;genres;filename;duration;nº fragments
76;Bling-Bang-Bang-Born;Creepy Nuts;Hip-Hop, Rap;song_76;2:46;13
77;Fast Car;Luke Combs;Country;song_77;4:25;22
78;Summertine Sadness;Lana Del Rey, Cedric Gervais;Dream Pop, Electropop, Pop;song_78;3:45;18
79;Prada;casso, RAYE, D-Block Europe;Hip-Hop, Rap;song_79;2:12;11
80;Houdini;Eminem;Hip-Hop, Rap;song_80;3:47;18
81;Believer;Imagine Dragons;Pop Rock, Electropop, Pop;song_81;3:24;17
82;Counting Stars;OneRepubic;Pop Rock;song_82;4:19;21
83;Según Quien;Maluma, Carin Leon;Regional Mexicano;song_83;2:22;11
84;Without Me;Eminem;Hip-Hop, Rap;song_84;4:51;24
85;Feather;Sabrina Carpenter;Pop;song_85;3:05;15
86;Stay;The Kid LAROI, Justin Bieber;Pop Rap, Pop;song_86;2:19;11
87;Shut Up My Moms Calling;Hotel Ugly;Indie Pop;song_87;2:45;13
88;Take Me To Church;Hozier;Indie Rock, Soul;song_88;4:00;20
89;I Can Do It With A Broken Heart;Taylor Swift;Pop, Country;song_89;3:38;18
90;Heat Waves;Glass Animals;Indie Pop, Synth Pop;song_90;3:55;19
91;Pink + White;Frank Ocean;R&B;song_91;3:04;15
92;Shape Of You;Ed Sheeran;Pop, Dancehall;song_92;3:51;19
93;Everybody Wants To Rule The World;Tears For Fears;Synth Pop;song_93;4:21;21
94;Stargazing;Myles Smith;Indie Pop;song_94;2:52;14
95;Strangers ;Kenya Grace;Electropop, Dance Pop;song_95;2:53;14
96;Every Breath You Take;The Police;Balada, Rock;song_96;4:12;21
97;Dreams;Fleetwood Mac;Rock, Soft Rock;song_97;4:17;21
98;Yes, And?;Ariana Grande;Pop;song_98;3:35;17
99;Levitating;Dua Lipa;Disco, Pop;song_99;3:40;18
100;Lovely;Billie Eilish, Khalid;Pop, R&B;song_100;3:20;16
101;In The End;Linkin Park;Rap Rock;song_101;3:35;17
102;All I Want For Christmas Is You;Mariah Carey;Pop, R&B, Navidad;song_102;4:02;20
103;Redrum;21 Savage;Hip-Hop, Trap;song_103;4:32;22
104;Slow It Down;Benson Boone;Pop;song_104;3:03;15
105;Chihiro;Billie Eilish;Pop, Alternative Pop;song_105;5:03;25
106;Belong Together;Mark Ambor;Pop;song_106;2:29;12
107;Cold Heart (PNAU Remix);Elton John, Dua Lipa;Dance Pop, Pop;song_107;3:22;16
108;Amargura;Karol G;Reggaeton, Latin Urban;song_108;2:49;14
109;La Bachata;Manuel Turizo;Bachata, Latin Urban;song_109;2:42;13
110;Dance The Night;Dua Lipa;Disco, Pop;song_110;2:57;14
111;Nonsense;Sabrina Carpenter;Pop;song_111;2:43;13
112;Training Season;Dua Lipa;Pop;song_112;3:30;17
113;Si No Estas;Inigo Quintero;Balada, Pop;song_113;3:04;15
114;Agora Hills;Doja Cat;Hip-Hop, Rap;song_114;4:25;22
115;Scared To Start;Michael Marcagi;Pop;song_115;3:40;18
116;Something Just Like This;The Chainsmokers, Coldplay;EDM, Pop;song_116;4:07;20
117;Type Shit;Future, Metro Boomin, Travis Scott, Playboi Carti;Hip-Hop, Trap;song_117;3:49;19
118;Monaco;Bad Bunny;Reggaeton, Trap Latino;song_118;4:26;22
119;Locked Out Of Heaven;Bruno Mars;Pop Rock, Reggae Rock;song_119;3:53;19
120;Have You Ever Seen The Rain;Creedence Clearwater Revival;Rock, Country Rock;song_120;2:45;13
121;Iris;Goo Goo Dolls;Alternative Rock;song_121;4:49;24
122;Last Christmas;Wham!;Synth Pop, Christmas;song_122;4:23;21
123;Is It Over Now? ;Taylor Swift;Pop;song_123;3:54;19
124;Pink Skies;Zach Bryan;Country, Folk;song_124;3:15;16
125;Popular;The Weeknd, Playboi Carti, Madonna;Synth Pop, Hip-Hop;song_125;3:35;17
126;I Don't Wanna Wait;David Guetta, OneRepublic;Dance Pop, EDM;song_126;2:34;12
127;Fukumean ;Gunna;Trap, Hip-Hop;song_127;2:05;10
128;3D;Jung Kook, Jack Harlow;K-Pop, Hip-Hop;song_128;3:21;16
129;Que Onda;Calle 24, Chino Pacas, Fuerza Regida;Regional Mexicano;song_129;3:19;16
130;Mr. Brightside;The Killers;Alternative Rock;song_130;3:42;18
131;El Amor de Su Vida;Grupo Fronterea, Grupo Firme;Regional Mexicano;song_131;2:52;14
132;Wildflower;Billie Eilish;Indie Pop, Electropop;song_132;4:21;21
133;La Victima;Xavi;Pop Latino;song_133;2:36;13
134;Perfect Night;LE SSERAFIM;K-Pop;song_134;2:42;13
135;Harley Quinn;Fuerza Regida, Marshmello;Regional Mexicano;song_135;2:23;11
136;Creep;Radiohead;Alternative Rock;song_136;3:59;19
137;Si No Quieres No;Luis R Conriquez, Neton Vega;Regional Mexicano;song_137;2:02;10
138;Supernova;aespa;K-Pop, Electropop;song_138;2:59;14
139;Santa;Rvssian, Rauw Alejandro, Ayra StArr;Reguetón, Afrobeats;song_139;3:13;16
140;Rich Baby Daddy;Drake, Sexyy Red, SZA;Hip-Hop, Trap;song_140;5:19;26
141;Taste;Sabrina Carpenter;Pop;song_141;2:37;13
142;Don't Stop Believin';Journey;Rock;song_142;4:10;20
143;Bellakeo;Peso Pluma, Anitta;Reguetón, Latin Urban ;song_143;3:17;16
144;Stumblin' In;CYRIL;Pop Rock;song_144;3:33;17
145;Never Lose Me;Flo Milli;Hip-Hop, Rap;song_145;2:06;10
146;Baby Shark;Pinkfong;Infantil, Dance;song_146;2:16;11
147;Mockingbird;Eminem;Hip-Hop, Rap;song_147;4:13;21
148;Rockin' Around The Christmas Tree;Brenda Lee;Rock, Navidad;song_148;2:08;10
149;Can't Hold Us;Macklemore, Ryan Lewis, Ray Dalton;Hip-Hop, Pop;song_149;4:50;24
150;Y Lloro;Junior H;Regional Mexicano;song_150;2:59;14
151;Unforgettable;French Montana, Swae Lee;Soul, Hip-Hop, Dancehall;song_151;3:50;19
152;LaLa;Myke Towers;Reggaeton, Latin Trap;song_152;3:17;16
153;Like Crazy;Jimin;Synth Pop, K-Pop;song_153;3:22;16
154;Down Bad;Taylor Swfit;Synth Pop, R&B;song_154;4:25;22
155;Just The Way You Are;Bruno Mars;Pop, R&B;song_155;3:40;18
156;Madonna;Natanael Cano, Oscar Maydon;Corridos tumbados, Regional Mexicano;song_156;3:05;15
157;Miles On It;Marshmello, Kane Brown;Country Pop, EDM;song_157;2:48;14
158;Sure Thing;Miguel;R&B, Soul;song_158;3:21;16
159;La Bebe;Yng Lvcas, Peso Pluma;Reggaeton, Corridos tumbados;song_159;3:44;18
160;Hot To Go!;ChappelL Roan;Pop, Dance Pop;song_160;3:04;15
161;Alibi;Sevdaliza, Pabllo Vittar, Yesult;Electropop, Alternative Pop ;song_161;2:45;13
162;BAND4BAND;Central Cee, Lil Baby;UK Rap, Trap;song_162;2:18;11
163;Jingle Bell Rock;Bobby Helms;Rockabilly, Christmas;song_163;2:10;10
164;When I Was Your Name;Bruno Mars;Pop, Ballad;song_164;3:34;17
165;Evergreen;Richy Mitch, The Coal Miners;Indie Folk, Alternative;song_165;1:27;7
166;One Dance;Drake, WizKid, Kyla;Afrobeats, Dancehall;song_166;2:54;14
167;Cowgirls;Morgan Wallen, ERNEST;Country, Southern Rock;song_167;3:01;15
168;IDGAF;Drake, Yeat;Hip-Hop, Trap;song_168;2:18;11
169;Lady Gaga;Peso Pluma, Gabito Ballesteros, Junior H;Corridos tumbados, Regional Mexicano;song_169;3:33;17
170;The Door;Teddy Swims;Soul, Pop;song_170;3:31;17
171;The Sound Of Silence ;Disturbed;Heavy Metal, Rock;song_171;3:05;15
172;Exes;Tate McRae;Pop;song_172;2:39;13
173;Murder On The Dancefloor;;Disco, Dance-pop;song_173;3:49;19
174;Sweet Child O' Mine;Guns N' Roses;Hard Rock;song_174;5:02;25
175;Numb;Linkin Park;Nu Metal, Alternative Rock;song_175;3:05;15
176;Move;Adam Port, Stryv, Malachiii;House, Electronic;song_176;3:00;15
177;I Know?;Travis Scott;Hip-Hop, Trap;song_177;3:33;17
178;Primera Cita;Carin Leon;Regional Mexicano;song_178;3:22;16
179;Big Dawgs;Hanumankind, Kalmi;Hip-Hop, Rap;song_179;3:10;15
180;Pedro;Jaxomy, Agatino Romero, Raffaella Carra;Dance, Electronic;song_180;2:03;10
181;Whatever;Kygo, Ava Max;Dance Pop, EDM;song_181;2:57;14
182;Kehlani;Jordan Adetunji;Hip-Hop, R&B;song_182;2:02;10
183;Billie Jean;Michael Jackson;Pop, R&B;song_183;4:52;24
184;Euphoria;Kendrick Lamar;Hip-Hop, Rap;song_184;6:23;31
185;Idol;YOASOBI;J-Pop, Pop;song_185;3:33;17
186;Ain't No Love In Oklahoma;Luke Combs;Country;song_186;3:28;17
187;Your Love;The Outfield;Pop Rock;song_187;3:41;18
188;Guess;Charli XCX, Billie Eilish;Pop, Electropop;song_188;2:26;12
189;Dial Drunk;Noah Kahan, Post Malone;Folk Rock, Hip-Hop;song_189;3:44;18
190;Bye Bye Bye;*NSYNC;Pop;song_190;3:22;16
191;Somewhere Only We Know;Keane;Alternative Rock;song_191;3:56;19
192;First Person Shooter;Drake, J.Cole;Hip-Hop, Rap;song_192;4:07;20
193;Si No Es Contigo;Cris Mj;Reggaeton, Latin Urban;song_193;2:47;13
194;The Boy Is Mine;Ariana Grande, Brandy, Monica;R&B, Pop;song_194;2:53;14
195;Where The Wild Things Are;Luke Combs;Country;song_195;3:58;19
196;Cardigan;Taylor Swfit;Indie Folk, Alternative;song_196;4:00;20
197;Santa Tell Me;Ariana Grande;Christmas, Pop;song_197;3:24;17
198;No Role Modelz;J. Cole;Hip-Hop, Rap;song_198;4:52;24
199;Praise Jah In The Moonlight;YG Marley;Reggae;song_199;4:23;21
200;Toxic Till The End;ROSE;Alternative, Indie Rock;song_200;2:37;13
