Posicio;Cançó;Autor;Gèneres;Fragments recomanats;Ranking
1;Cardigan;Taylor Swfit;Indie Folk;7;197
2;Snooze;SZA;R&B;5;25
3;Save Your Tears;The Weeknd, Ariana Grande;Synth Pop, Pop;4;23
4;LUNCH;Billie Eilish;Alternative Pop;4;84
5;Vampire;Olivia Rodrigo;Pop Rock, Alternative Pop;3;60
6;Austin (Boots Stop Workin');Dasha;Country Pop;3;50
7;Si No Es Contigo;Cris Mj;Reggaeton, Latin Urban;3;194
8;Saturn;SZA;R&B;3;79
9;Unforgettable;French Montana, Swae Lee;Soul, Hip-Hop, Dancehall;3;152
10;Something In The Orange;Zach Bryan;Country Folk, Country;3;42
