Posicio;Cançó;Autor;Gèneres;Fragments recomanats;Ranking
1;Standing Next to You;Jung Kook, Latto;Pop, Dance Pop;6;36
2;Where The Wild Things Are;Luke Combs;Country;6;196
3;I Had Some Help (Feat. Morgan Wallen);Post Malone, Morgan Wallen;Country Pop;6;14
4;Every Breath You Take;The Police;Rock;5;94
5;I'm Good (Blue);David Guetta, Bebe Rexha;Pop, Dance Pop;4;55
6;Everybody Wants To Rule The World;Tears For Fears;Synth Pop;3;90
7;Cold Heart (PNAU Remix);Elton John, Dua Lipa;Dance Pop, Pop;3;107
8;BIRDS OF A FEATHER;Billie Eilish;Alternative Pop, Pop;3;7
9;Wildflower;Billie Eilish;Indie Pop, Electropop;2;133
10;Según Quien;Maluma, Carin Leon;Corridos tumbados;2;77
